tipologradouro_1,tipologradouro_2,logradouro_1,logradouro_2,bairro_1,bairro_2,municipio_1,municipio_2,rua,bairro
,,HERCULES FLORENCE,HERCULES FLORENCE,PQ DOM PEDRO II,CENTRO,SAO PAULO,SAO PAULO,1,0
RUA,RUA,CANHONEIRA BELMONTE,CANHONEIRA BELMONTE,VIOLA GUILHERME,VILA GUILHERME,SAO PAULO,SAO PAULO,1,1
,,DO IMPERADOR,DO IMPERADOR,VILA PAIVA,VILA PAIVA,SAO PAULO,SAO PAULO,1,1
RUA,RUA,R MAGARINOS TORRES,MARGARINO TORRES,VILA MARIA,VILA MARIA,SAO PAULO,SAO PAULO,1,1
,AVENIDA,ERNESTO AUGUSTO LOPES,ERNESTO AUGUSTO LOPES,VILA MARIA,PARQUE VILA MARIA,SAO PAULO,SAO PAULO,1,1
,AVENIDA,AV GENERAL ATALIBA LEONEL,AV GENERAL ATALIBA LEONEL,TUCURUVI,PARADA INGLESA,SAO PAULO,SAO PAULO,1,0
AVENIDA,,MAESTRO VILA LOBOS,HAMBURGO,TUCURUVI,P VITORIA,SAO PAULO,SAO PAULO,0,0
,RUA,RUA ASSUNTA DORES DE SICA,ASSUNTA DORES DE CICA,VILA NOVA MAZZEI,JARDIM TREMEMBE,SAO PAULO,SAO PAULO,1,0
,,AVENIDA AGUA FRIA,AGUA FRIA,AGUA FRIA,AGUA FRIA,SAO PAULO,SAO PAULO,1,1
,,RUA MACAMBIRA,MACAMBIRA,TUCURUVI,TUCURUVI,SAO PAULO,SAO PAULO,1,1
RUA,RUA,MAESTRO LAURO PINTO RIBEIRO,R DIONISIO DE SOUZA,JD. RECANTO VERDE,PQUE CASA DE PEDRA,SAO PAULO,SAO PAULO,0,0
RUA,,JOAO RIOS,R JOAO RIOS,JD DAYSY,VILA ALBERTINA,SAO PAULO,SAO PAULO,1,0
AVENIDA,AVENIDA,SEZEFREDO FAGUNDES,CORONEL SEZEFREDO FAGUNDES,JD TREMEMBE,CACHOEIRA,SAO PAULO,SAO PAULO,1,0
,,DOS CANTAROS,CANTAROS,,CACHOEIRA,SAO PAULO,SAO PAULO,1,0
,RUA,VOLUNTARIOS DA PATRIA,VOLUNTARIOS DA PATRIA,SANTANA,SANTANA,SAO PAULO,SAO PAULO,1,1
,,R PROFESSOR CUSTODIO DE FARIA,R GARCIA RODRIGUES,ALTO DO MANDAQUI,ALTO DO MANDAQUI,SAO PAULO,SAO PAULO,0,1
RUA,,JACOFER,R JACOFER,JD PEREIRA LEITE,JD PEREIRA LEITE,SAO PAULO,SAO PAULO,1,1
,,BARTHOLOMEU DO CANTO,R BARTOLOMEU DO CANTO,VILA PALMEIRAS,VILA PALMEIRAS,SAO PAULO,SAO PAULO,1,1
,,R VICENTE SOARES DA COSTA,R ENG ALBERTO SCHIESSER,VILA PALMEIRAS,SANTA MARIA,SAO PAULO,SAO PAULO,0,0
,,EXPEDITO RIBEIRO DE SOUZA,R HUM,JARDIM PAULISTANO,PARADA DE TAIPAS,SAO PAULO,SAO PAULO,0,0
,RUA,CAPITAO JOSE PAIS,CAPITAO JOSE PAES,VILA NIN A,BRASILANDIA,SAO PAULO,SAO PAULO,1,0
RUA,,TABATINGA,TABATINGA,VILA ITABERABA,VILA ITABERABA,SAO PAULO,SAO PAULO,1,1
,,KIEV,R KIEV,VILA ZATT,VILA ZATT,SAO PAULO,SAO PAULO,1,1
,,R AURORA DO NORTE,R AURORA DO NORTE,PIRITUBA,PIRITUBA,SAO PAULO,SAO PAULO,1,1
RUA,,RIO DA FRONTEIRA,RUA RIO DA FRONTEIRA,JARDIM ALVINA,PARADA DE TAIPAS,SAO PAULO,SAO PAULO,1,0
,OUTROS,NOSSA SENHORA DA PAZ,NOSSA SENHORA DA PAZ,CITY JARAGUA,CITY JARAGUA,SAO PAULO,SAO PAULO,1,1
,,DAS OLARIAS,DAS OLARIAS,CANINDE,CANINDE,SAO PAULO,SAO PAULO,1,1
RUA,,RUA PROFESSOR BATISTA DE ANDRADE,PROFESSOR BATISTA DE ANDRADE,BRAS,BRAS,SAO PAULO,SAO PAULO,1,1
,RUA,R CORONEL BENTO PIRES,CORONEL BENTO PIRES,MOOCA,MOOCA,SAO PAULO,SAO PAULO,1,1
,RUA,R JOAQUIM JOSE DAS NEVES,JOAQUIM JOSE DAS NEVES,MOOCA,VILA CLAUDIA,SAO PAULO,SAO PAULO,1,0
,,R COSTA BARRO,COSTA BARROS,VILA ALPINA,VL ALPINA,SAO PAULO,SAO PAULO,1,1
,OUTROS,JOAO GERALDO,A RUA JOAO GERALDO,VL MATILDE,VILA MATILDE,SAO PAULO,SAO PAULO,1,1
RUA,,JANDAIA DO SUL,JANDAIA DO SUL,VILA GUILHERMINA,VL GUILHERMINA,SAO PAULO,SAO PAULO,1,1
,,R ALTO DO PARNAIBA,ALTO DO PARNAIBA,CIDADE PATRIARCA,CIDADE PATRIARCA,SAO PAULO,SAO PAULO,1,1
,,R SALVADOR MAELLA,SALVADOR MALELLA,JARDIM SANTA TEREZI,JD SANTA TEREZINHA,SAO PAULO,SAO PAULO,1,1
,RUA,R PE VITOR MARIANO,PADRE VITOR MARIANO,ARTUR ALVIM,CONJ HAB MANOEL DA,SAO PAULO,SAO PAULO,1,0
RUA,RUA,CONCEICAO PEREIRA,R CONCEICAO PEREIRA,PENHA,PENHA,SAO PAULO,SAO PAULO,1,1
,,CECILIA,RUA CECILIA,VILA ESPERANCA,VILA ESPERANCA,SAO PAULO,SAO PAULO,1,1
,RUA,R PADRE LUIZ ROSSI,RUA PADRE LUIZ ROSSI,SAO MATEUS,SAO MATHEUS,SAO PAULO,SAO PAULO,1,1
,,R LUIZ ROZETE,R LUIZ ROSSETI,VLA FLAVIA,SAO MATHEUS,SAO PAULO,SAO PAULO,1,0
RUA,RUA,SOFIA CASTELANE,SOFIA CASTELANE,VILA CARDOSO FRANCO,VL C. FRANCO,SAO PAULO,SAO PAULO,1,1
,,AL DOS GUAICANAS,DOS GUAICANAS,PLANALTO PAULISTA,INDIANOPOLIS,SAO PAULO,SAO PAULO,1,0
,,DOS AICAS,AL DOS AICAS,INDIANOPOLIS,MOEMA,SAO PAULO,SAO PAULO,1,0
RUA,,DONA BRIGIDA,R DONA BRIGIDA,VILA MARIANA,V. MARIANA,SAO PAULO,SAO PAULO,1,1
RUA,RUA,ARMINDA FERNANDES DE ALMEIDA,ARMINDA FERNANDES DE ALMEIRA,VILA MARIANA,VILA MARIANA,SAO PAULO,SAO PAULO,1,1
RUA,,R VISCONDE DE GUARATIBA,VISCONDE DE GUARATIBA,FIRMIANO PINTO,FIRMIANO PINTO,SAO PAULO,SAO PAULO,1,1
,,SERRANO,R VUTURUNA,CIDADE LIDER,BQ DA SAUDE,SAO PAULO,SAO PAULO,0,0
,,R SIMAO LOPES,SIMAO LOPES,VILA MORAIS,VILA MORAES,SAO PAULO,SAO PAULO,1,1
RUA,RUA,IBITURUNA,IBITURUNA,PARQUE IMPERIAL,PARQUE IMPERIAL,SAO PAULO,SAO PAULO,1,1
,RUA,R GERALDO SALINI ROMEU,ENGENHEIRO GERALDO ALINI ROMEU 1,JARDIM ORIENTAL,JARDIN ORIENTAL,SAO PAULO,SAO PAULO,1,1
,RUA,PARNAIBA PAOLIELLO,PARNAIBA PAOLIELLO,JD ORIENTAL,JARDIM ORIENTAL,SAO PAULO,SAO PAULO,1,1
,,CIRIDIAO DURVAL,CIRIDIAO DURVAL,VILA PAULISTA,VILA PAULISTA,SAO PAULO,SAO PAULO,1,1
,,RUA NELSON WASHINTON PEREIRA,NELSON WASHINGTON PEREIRA,VILA SANTA CATARINA,VL STA CATARINA,SAO PAULO,SAO PAULO,1,1
,RUA,FRANZ ERKEL,FRANZ ERKEL,JARDIM ORLY,JARDIM ORLY,SAO PAULO,SAO PAULO,1,1
,,DOS APIARES,DOS APIARIS,SANTA TEREZINHA,JD STA TEREZINHA,SAO PAULO,SAO PAULO,1,1
,,MAJOR JULIO VALENTE,R MAJOR JULIO VALENTE,PQ DOROTEIA,PQ DOROTEIA,SAO PAULO,SAO PAULO,1,1
RUA,,R CRISTOVAO PEREIRA,CRISTOVAO PEREIRA,CAMPO BELO,CAMPO BELO,SAO PAULO,SAO PAULO,1,1
,,R VSC DE OURO PRETO,R DOUTOR VITO ROLIM DE FREITAS,STO AMARO,SANTO AMARO,SAO PAULO,SAO PAULO,0,1
RUA,RUA,HERBERT FRAZER,HERBERT FRAZER,INTERLAGOS,INTERLAGOS,SAO PAULO,SAO PAULO,1,1
,,VICENTE MARTINEZ RISCO,VICENTE MARTINEZ RISCO,JARDIM DAS IMBUIAS,JARDIM DAS IMBUIAS,SAO PAULO,SAO PAULO,1,1
,,JOAO PAULO BARRETO,RUA JOAO PAULO BARRETO,PQ GRAJAU,P2 GRAJAU,SAO PAULO,SAO PAULO,1,1
,,R DINORAH LOBO CAMPANHOLE,DINORAH LOBO CAMPANHOLE,JARDIM MYRNA,JARDIM MYRNA,SAO PAULO,SAO PAULO,1,1
,RUA,PEDRO DA COSTA FALEIRO,ANTONIO FRANCA,PQUE FIGUEIRA GDE,PQ FIGUEIRA GRANDE,SAO PAULO,SAO PAULO,0,1
,,RUA DAS GALHARDAS,RUA DAS GALHARDAS,JARDIM SANTA ZELIA,JARDIM STA ZELIA,SAO PAULO,SAO PAULO,1,1
,,DAS CLAVES,R DAS CLAVES,JD KAGOHARA,STO AMARO,SAO PAULO,SAO PAULO,1,0
,,RUA PROFESSORA ALTINA MAYNARD ARAUJO,R PROFESSORA ALTINA MAYNARDI DE ARAUJO,PIRITUBA,PARQUE SAO DOMINGO,SAO PAULO,SAO PAULO,1,0
,,R PADRE JOAO BEIL,PADRE JOAO BEIL,JD SANTO ELIAS,STO ELIAS,SAO PAULO,SAO PAULO,1,1
,,DOMINGOS SERGIO DOS ANJOS,DOMINGOS SERGIO DOS ANJOS,SANTO ELIAS,JARDIM SANTO ELIAS,SAO PAULO,SAO PAULO,1,1
